index,score
FRIENDLY,2.0
GAIN,2.0
GAINED,2.0
GAINING,2.0
GAINS,2.0
GOOD,2.0
GREAT,2.0
GREATER,2.0
GREATEST,2.0
GREATLY,2.0
GREATNESS,2.0
HAPPIEST,2.0
HAPPILY,2.0
HAPPINESS,2.0
HAPPY,2.0
HIGHEST,2.0
HONOR,2.0
HONORABLE,2.0
HONORED,2.0
HONORING,2.0
HONORS,2.0
IDEAL,2.0
IMPRESS,2.0
IMPRESSED,2.0
IMPRESSES,2.0
IMPRESSING,2.0
IMPRESSIVE,2.0
IMPRESSIVELY,2.0
IMPROVE,2.0
IMPROVED,2.0
IMPROVEMENT,2.0
IMPROVEMENTS,2.0
IMPROVES,2.0
IMPROVING,2.0
INCREDIBLE,2.0
INCREDIBLY,2.0
INFLUENTIAL,2.0
INFORMATIVE,2.0
INGENUITY,2.0
INNOVATE,2.0
INNOVATED,2.0
INNOVATES,2.0
INNOVATING,2.0
INNOVATION,2.0
INNOVATIONS,2.0
INNOVATIVE,2.0
INNOVATIVENESS,2.0
INNOVATOR,2.0
INNOVATORS,2.0
INSIGHTFUL,2.0
INSPIRATION,2.0
INSPIRATIONAL,2.0
INTEGRITY,2.0
INVENT,2.0
INVENTED,2.0
INVENTING,2.0
INVENTION,2.0
INVENTIONS,2.0
INVENTIVE,2.0
INVENTIVENESS,2.0
INVENTOR,2.0
INVENTORS,2.0
LEADERSHIP,2.0
LEADING,2.0
LOYAL,2.0
LUCRATIVE,2.0
MERITORIOUS,2.0
OPPORTUNITIES,2.0
OPPORTUNITY,2.0
OPTIMISTIC,2.0
OUTPERFORM,2.0
OUTPERFORMED,2.0
OUTPERFORMING,2.0
OUTPERFORMS,2.0
PERFECT,2.0
PERFECTED,2.0
PERFECTLY,2.0
PERFECTS,2.0
PLEASANT,2.0
PLEASANTLY,2.0
PLEASED,2.0
PLEASURE,2.0
PLENTIFUL,2.0
POPULAR,2.0
POPULARITY,2.0
POSITIVE,2.0
POSITIVELY,2.0
PREEMINENCE,2.0
PREEMINENT,2.0
PREMIER,2.0
PREMIERE,2.0
PRESTIGE,2.0
PRESTIGIOUS,2.0
PROACTIVE,2.0
PROACTIVELY,2.0
PROFICIENCY,2.0
PROFICIENT,2.0
PROFICIENTLY,2.0
PROFITABILITY,2.0
PROFITABLE,2.0
PROFITABLY,2.0
PROGRESS,2.0
PROGRESSED,2.0
PROGRESSES,2.0
PROGRESSING,2.0
PROSPERED,2.0
PROSPERING,2.0
PROSPERITY,2.0
PROSPEROUS,2.0
PROSPERS,2.0
REBOUND,2.0
REBOUNDED,2.0
REBOUNDING,2.0
RECEPTIVE,2.0
REGAIN,2.0
REGAINED,2.0
REGAINING,2.0
RESOLVE,2.0
REVOLUTIONIZE,2.0
REVOLUTIONIZED,2.0
REVOLUTIONIZES,2.0
REVOLUTIONIZING,2.0
REWARD,2.0
REWARDED,2.0
REWARDING,2.0
REWARDS,2.0
SATISFACTION,2.0
SATISFACTORILY,2.0
SATISFACTORY,2.0
SATISFIED,2.0
SATISFIES,2.0
SATISFY,2.0
SATISFYING,2.0
SMOOTH,2.0
SMOOTHING,2.0
SMOOTHLY,2.0
SMOOTHS,2.0
SOLVES,2.0
SOLVING,2.0
SPECTACULAR,2.0
SPECTACULARLY,2.0
STABILITY,2.0
STABILIZATION,2.0
STABILIZATIONS,2.0
STABILIZE,2.0
STABILIZED,2.0
STABILIZES,2.0
STABILIZING,2.0
STABLE,2.0
STRENGTH,2.0
STRENGTHEN,2.0
STRENGTHENED,2.0
STRENGTHENING,2.0
STRENGTHENS,2.0
STRENGTHS,2.0
STRONG,2.0
STRONGER,2.0
STRONGEST,2.0
SUCCEED,2.0
SUCCEEDED,2.0
SUCCEEDING,2.0
SUCCEEDS,2.0
SUCCESS,2.0
SUCCESSES,2.0
SUCCESSFUL,2.0
SUCCESSFULLY,2.0
SUPERIOR,2.0
SURPASS,2.0
SURPASSED,2.0
SURPASSES,2.0
SURPASSING,2.0
TRANSPARENCY,2.0
TREMENDOUS,2.0
TREMENDOUSLY,2.0
UNMATCHED,2.0
UNPARALLELED,2.0
UNSURPASSED,2.0
UPTURN,2.0
UPTURNS,2.0
VALUABLE,2.0
VERSATILE,2.0
VERSATILITY,2.0
VIBRANCY,2.0
VIBRANT,2.0
WIN,2.0
WINNER,2.0
WINNERS,2.0
WINNING,2.0
WORTHY,2.0
ABANDON,-2.0
ABANDONED,-2.0
ABANDONING,-2.0
ABANDONMENT,-2.0
ABANDONMENTS,-2.0
ABANDONS,-2.0
ABDICATED,-2.0
ABDICATES,-2.0
ABDICATING,-2.0
ABDICATION,-2.0
ABDICATIONS,-2.0
ABERRANT,-2.0
ABERRATION,-2.0
ABERRATIONAL,-2.0
ABERRATIONS,-2.0
ABETTING,-2.0
ABNORMAL,-2.0
ABNORMALITIES,-2.0
ABNORMALITY,-2.0
ABNORMALLY,-2.0
ABOLISH,-2.0
ABOLISHED,-2.0
ABOLISHES,-2.0
ABOLISHING,-2.0
ABROGATE,-2.0
ABROGATED,-2.0
ABROGATES,-2.0
ABROGATING,-2.0
ABROGATION,-2.0
ABROGATIONS,-2.0
ABRUPT,-2.0
ABRUPTLY,-2.0
ABRUPTNESS,-2.0
ABSENCE,-2.0
ABSENCES,-2.0
ABSENTEEISM,-2.0
ABUSE,-2.0
ABUSED,-2.0
ABUSES,-2.0
ABUSING,-2.0
ABUSIVE,-2.0
ABUSIVELY,-2.0
ABUSIVENESS,-2.0
ACCIDENT,-2.0
ACCIDENTAL,-2.0
ACCIDENTALLY,-2.0
ACCIDENTS,-2.0
ACCUSATION,-2.0
ACCUSATIONS,-2.0
ACCUSE,-2.0
ACCUSED,-2.0
ACCUSES,-2.0
ACCUSING,-2.0
ACQUIESCE,-2.0
ACQUIESCED,-2.0
ACQUIESCES,-2.0
ACQUIESCING,-2.0
ACQUIT,-2.0
ACQUITS,-2.0
ACQUITTAL,-2.0
ACQUITTALS,-2.0
ACQUITTED,-2.0
ACQUITTING,-2.0
ADULTERATE,-2.0
ADULTERATED,-2.0
ADULTERATING,-2.0
ADULTERATION,-2.0
ADULTERATIONS,-2.0
ADVERSARIAL,-2.0
ADVERSARIES,-2.0
ADVERSARY,-2.0
ADVERSE,-2.0
ADVERSELY,-2.0
ADVERSITIES,-2.0
ADVERSITY,-2.0
AFTERMATH,-2.0
AFTERMATHS,-2.0
AGAINST,-2.0
AGGRAVATE,-2.0
AGGRAVATED,-2.0
AGGRAVATES,-2.0
AGGRAVATING,-2.0
AGGRAVATION,-2.0
AGGRAVATIONS,-2.0
ALERTED,-2.0
ALERTING,-2.0
ALIENATE,-2.0
ALIENATED,-2.0
ALIENATES,-2.0
ALIENATING,-2.0
ALIENATION,-2.0
ALIENATIONS,-2.0
ALLEGATION,-2.0
ALLEGATIONS,-2.0
ALLEGE,-2.0
ALLEGED,-2.0
ALLEGEDLY,-2.0
ALLEGES,-2.0
ALLEGING,-2.0
ANNOY,-2.0
ANNOYANCE,-2.0
ANNOYANCES,-2.0
ANNOYED,-2.0
ANNOYING,-2.0
ANNOYS,-2.0
ANNUL,-2.0
ANNULLED,-2.0
ANNULLING,-2.0
ANNULMENT,-2.0
ANNULMENTS,-2.0
ANNULS,-2.0
ANOMALIES,-2.0
ANOMALOUS,-2.0
ANOMALOUSLY,-2.0
ANOMALY,-2.0
ANTICOMPETITIVE,-2.0
ANTITRUST,-2.0
ARGUE,-2.0
ARGUED,-2.0
ARGUING,-2.0
ARGUMENT,-2.0
ARGUMENTATIVE,-2.0
ARGUMENTS,-2.0
ARREARAGE,-2.0
ARREARAGES,-2.0
ARREARS,-2.0
ARREST,-2.0
ARRESTED,-2.0
ARRESTS,-2.0
ARTIFICIALLY,-2.0
ASSAULT,-2.0
ASSAULTED,-2.0
ASSAULTING,-2.0
ASSAULTS,-2.0
ASSERTIONS,-2.0
ATTRITION,-2.0
AVERSELY,-2.0
BACKDATING,-2.0
BAD,-2.0
BAIL,-2.0
BAILOUT,-2.0
BALK,-2.0
BALKED,-2.0
BANKRUPT,-2.0
BANKRUPTCIES,-2.0
BANKRUPTCY,-2.0
BANKRUPTED,-2.0
BANKRUPTING,-2.0
BANKRUPTS,-2.0
BANS,-2.0
BARRED,-2.0
BARRIER,-2.0
BARRIERS,-2.0
BOTTLENECK,-2.0
BOTTLENECKS,-2.0
BOYCOTT,-2.0
BOYCOTTED,-2.0
BOYCOTTING,-2.0
BOYCOTTS,-2.0
BREACH,-2.0
BREACHED,-2.0
BREACHES,-2.0
BREACHING,-2.0
BREAK,-2.0
BREAKAGE,-2.0
BREAKAGES,-2.0
BREAKDOWN,-2.0
BREAKDOWNS,-2.0
BREAKING,-2.0
BREAKS,-2.0
BRIBE,-2.0
BRIBED,-2.0
BRIBERIES,-2.0
BRIBERY,-2.0
BRIBES,-2.0
BRIBING,-2.0
BRIDGE,-2.0
BROKEN,-2.0
BURDEN,-2.0
BURDENED,-2.0
BURDENING,-2.0
BURDENS,-2.0
BURDENSOME,-2.0
BURNED,-2.0
CALAMITIES,-2.0
CALAMITOUS,-2.0
CALAMITY,-2.0
CANCEL,-2.0
CANCELED,-2.0
CANCELING,-2.0
CANCELLATION,-2.0
CANCELLATIONS,-2.0
CANCELLED,-2.0
CANCELLING,-2.0
CANCELS,-2.0
CARELESS,-2.0
CARELESSLY,-2.0
CARELESSNESS,-2.0
CATASTROPHE,-2.0
CATASTROPHES,-2.0
CATASTROPHIC,-2.0
CATASTROPHICALLY,-2.0
CAUTION,-2.0
CAUTIONARY,-2.0
CAUTIONED,-2.0
CAUTIONING,-2.0
CAUTIONS,-2.0
CEASE,-2.0
CEASED,-2.0
CEASES,-2.0
CEASING,-2.0
CENSURE,-2.0
CENSURED,-2.0
CENSURES,-2.0
CENSURING,-2.0
CHALLENGE,-2.0
CHALLENGED,-2.0
CHALLENGES,-2.0
CHALLENGING,-2.0
CHARGEOFFS,-2.0
CIRCUMVENT,-2.0
CIRCUMVENTED,-2.0
CIRCUMVENTING,-2.0
CIRCUMVENTION,-2.0
CIRCUMVENTIONS,-2.0
CIRCUMVENTS,-2.0
CLAIMING,-2.0
CLAIMS,-2.0
CLAWBACK,-2.0
CLOSED,-2.0
CLOSEOUT,-2.0
CLOSEOUTS,-2.0
CLOSING,-2.0
CLOSINGS,-2.0
CLOSURE,-2.0
CLOSURES,-2.0
COERCE,-2.0
COERCED,-2.0
COERCES,-2.0
COERCING,-2.0
COERCION,-2.0
COERCIVE,-2.0
COLLAPSE,-2.0
COLLAPSED,-2.0
COLLAPSES,-2.0
COLLAPSING,-2.0
COLLISION,-2.0
COLLISIONS,-2.0
COLLUDE,-2.0
COLLUDED,-2.0
COLLUDES,-2.0
COLLUDING,-2.0
COLLUSION,-2.0
COLLUSIONS,-2.0
COLLUSIVE,-2.0
COMPLAIN,-2.0
COMPLAINED,-2.0
COMPLAINING,-2.0
COMPLAINS,-2.0
COMPLAINT,-2.0
COMPLAINTS,-2.0
COMPLICATE,-2.0
COMPLICATED,-2.0
COMPLICATES,-2.0
COMPLICATING,-2.0
COMPLICATION,-2.0
COMPLICATIONS,-2.0
COMPULSION,-2.0
CONCEALED,-2.0
CONCEALING,-2.0
CONCEDE,-2.0
CONCEDED,-2.0
CONCEDES,-2.0
CONCEDING,-2.0
CONCERN,-2.0
CONCERNED,-2.0
CONCERNS,-2.0
CONCILIATING,-2.0
CONCILIATION,-2.0
CONCILIATIONS,-2.0
CONDEMN,-2.0
CONDEMNATION,-2.0
CONDEMNATIONS,-2.0
CONDEMNED,-2.0
CONDEMNING,-2.0
CONDEMNS,-2.0
CONDONE,-2.0
CONDONED,-2.0
CONFESS,-2.0
CONFESSED,-2.0
CONFESSES,-2.0
CONFESSING,-2.0
CONFESSION,-2.0
CONFINE,-2.0
CONFINED,-2.0
CONFINEMENT,-2.0
CONFINEMENTS,-2.0
CONFINES,-2.0
CONFINING,-2.0
CONFISCATE,-2.0
CONFISCATED,-2.0
CONFISCATES,-2.0
CONFISCATING,-2.0
CONFISCATION,-2.0
CONFISCATIONS,-2.0
CONFLICT,-2.0
CONFLICTED,-2.0
CONFLICTING,-2.0
CONFLICTS,-2.0
CONFRONT,-2.0
CONFRONTATION,-2.0
CONFRONTATIONAL,-2.0
CONFRONTATIONS,-2.0
CONFRONTED,-2.0
CONFRONTING,-2.0
CONFRONTS,-2.0
CONFUSE,-2.0
CONFUSED,-2.0
CONFUSES,-2.0
CONFUSING,-2.0
CONFUSINGLY,-2.0
CONFUSION,-2.0
CONSPIRACIES,-2.0
CONSPIRACY,-2.0
CONSPIRATOR,-2.0
CONSPIRATORIAL,-2.0
CONSPIRATORS,-2.0
CONSPIRE,-2.0
CONSPIRED,-2.0
CONSPIRES,-2.0
CONSPIRING,-2.0
CONTEMPT,-2.0
CONTEND,-2.0
CONTENDED,-2.0
CONTENDING,-2.0
CONTENDS,-2.0
CONTENTION,-2.0
CONTENTIONS,-2.0
CONTENTIOUS,-2.0
CONTENTIOUSLY,-2.0
CONTESTED,-2.0
CONTESTING,-2.0
CONTRACTION,-2.0
CONTRACTIONS,-2.0
CONTRADICT,-2.0
CONTRADICTED,-2.0
CONTRADICTING,-2.0
CONTRADICTION,-2.0
CONTRADICTIONS,-2.0
CONTRADICTORY,-2.0
CONTRADICTS,-2.0
CONTRARY,-2.0
CONTROVERSIAL,-2.0
CONTROVERSIES,-2.0
CONTROVERSY,-2.0
CONVICT,-2.0
CONVICTED,-2.0
CONVICTING,-2.0
CONVICTION,-2.0
CONVICTIONS,-2.0
CORRECTED,-2.0
CORRECTING,-2.0
CORRECTION,-2.0
CORRECTIONS,-2.0
CORRECTS,-2.0
CORRUPT,-2.0
CORRUPTED,-2.0
CORRUPTING,-2.0
CORRUPTION,-2.0
CORRUPTIONS,-2.0
CORRUPTLY,-2.0
CORRUPTNESS,-2.0
COSTLY,-2.0
COUNTERCLAIM,-2.0
COUNTERCLAIMED,-2.0
COUNTERCLAIMING,-2.0
COUNTERCLAIMS,-2.0
COUNTERFEIT,-2.0
COUNTERFEITED,-2.0
COUNTERFEITER,-2.0
COUNTERFEITERS,-2.0
COUNTERFEITING,-2.0
COUNTERFEITS,-2.0
COUNTERMEASURE,-2.0
COUNTERMEASURES,-2.0
CRIME,-2.0
CRIMES,-2.0
CRIMINAL,-2.0
CRIMINALLY,-2.0
CRIMINALS,-2.0
CRISES,-2.0
CRISIS,-2.0
CRITICAL,-2.0
CRITICALLY,-2.0
CRITICISM,-2.0
CRITICISMS,-2.0
CRITICIZE,-2.0
CRITICIZED,-2.0
CRITICIZES,-2.0
CRITICIZING,-2.0
CRUCIAL,-2.0
CRUCIALLY,-2.0
CULPABILITY,-2.0
CULPABLE,-2.0
CULPABLY,-2.0
CUMBERSOME,-2.0
CURTAIL,-2.0
CURTAILED,-2.0
CURTAILING,-2.0
CURTAILMENT,-2.0
CURTAILMENTS,-2.0
CURTAILS,-2.0
CUT,-2.0
CUTBACK,-2.0
CUTBACKS,-2.0
CYBERATTACK,-2.0
CYBERATTACKS,-2.0
CYBERBULLYING,-2.0
CYBERCRIME,-2.0
CYBERCRIMES,-2.0
CYBERCRIMINAL,-2.0
CYBERCRIMINALS,-2.0
DAMAGE,-2.0
DAMAGED,-2.0
DAMAGES,-2.0
DAMAGING,-2.0
DAMPEN,-2.0
DAMPENED,-2.0
DANGER,-2.0
DANGEROUS,-2.0
DANGEROUSLY,-2.0
DANGERS,-2.0
DEADLOCK,-2.0
DEADLOCKED,-2.0
DEADLOCKING,-2.0
DEADLOCKS,-2.0
DEADWEIGHT,-2.0
DEADWEIGHTS,-2.0
DEBARMENT,-2.0
DEBARMENTS,-2.0
DEBARRED,-2.0
DECEASED,-2.0
DECEIT,-2.0
DECEITFUL,-2.0
DECEITFULNESS,-2.0
DECEIVE,-2.0
DECEIVED,-2.0
DECEIVES,-2.0
DECEIVING,-2.0
DECEPTION,-2.0
DECEPTIONS,-2.0
DECEPTIVE,-2.0
DECEPTIVELY,-2.0
DECLINE,-2.0
DECLINED,-2.0
DECLINES,-2.0
DECLINING,-2.0
DEFACE,-2.0
DEFACED,-2.0
DEFACEMENT,-2.0
DEFAMATION,-2.0
DEFAMATIONS,-2.0
DEFAMATORY,-2.0
DEFAME,-2.0
DEFAMED,-2.0
DEFAMES,-2.0
DEFAMING,-2.0
DEFAULT,-2.0
DEFAULTED,-2.0
DEFAULTING,-2.0
DEFAULTS,-2.0
DEFEAT,-2.0
DEFEATED,-2.0
DEFEATING,-2.0
DEFEATS,-2.0
DEFECT,-2.0
DEFECTIVE,-2.0
DEFECTS,-2.0
DEFEND,-2.0
DEFENDANT,-2.0
DEFENDANTS,-2.0
DEFENDED,-2.0
DEFENDING,-2.0
DEFENDS,-2.0
DEFENSIVE,-2.0
DEFER,-2.0
DEFICIENCIES,-2.0
DEFICIENCY,-2.0
DEFICIENT,-2.0
DEFICIT,-2.0
DEFICITS,-2.0
DEFRAUD,-2.0
DEFRAUDED,-2.0
DEFRAUDING,-2.0
DEFRAUDS,-2.0
DEFUNCT,-2.0
DEGRADATION,-2.0
DEGRADATIONS,-2.0
DEGRADE,-2.0
DEGRADED,-2.0
DEGRADES,-2.0
DEGRADING,-2.0
DELAY,-2.0
DELAYED,-2.0
DELAYING,-2.0
DELAYS,-2.0
DELETERIOUS,-2.0
DELIBERATE,-2.0
DELIBERATED,-2.0
DELIBERATELY,-2.0
DELINQUENCIES,-2.0
DELINQUENCY,-2.0
DELINQUENT,-2.0
DELINQUENTLY,-2.0
DELINQUENTS,-2.0
DELIST,-2.0
DELISTED,-2.0
DELISTING,-2.0
DELISTS,-2.0
DEMISE,-2.0
DEMISED,-2.0
DEMISES,-2.0
DEMISING,-2.0
DEMOLISH,-2.0
DEMOLISHED,-2.0
DEMOLISHES,-2.0
DEMOLISHING,-2.0
DEMOLITION,-2.0
DEMOLITIONS,-2.0
DEMOTE,-2.0
DEMOTED,-2.0
DEMOTES,-2.0
DEMOTING,-2.0
DEMOTION,-2.0
DEMOTIONS,-2.0
DENIAL,-2.0
DENIALS,-2.0
DENIED,-2.0
DENIES,-2.0
DENIGRATE,-2.0
DENIGRATED,-2.0
DENIGRATES,-2.0
DENIGRATING,-2.0
DENIGRATION,-2.0
DENY,-2.0
DENYING,-2.0
DEPLETE,-2.0
DEPLETED,-2.0
DEPLETES,-2.0
DEPLETING,-2.0
DEPLETION,-2.0
DEPLETIONS,-2.0
DEPRECATION,-2.0
DEPRESS,-2.0
DEPRESSED,-2.0
DEPRESSES,-2.0
DEPRESSING,-2.0
DEPRIVATION,-2.0
DEPRIVE,-2.0
DEPRIVED,-2.0
DEPRIVES,-2.0
DEPRIVING,-2.0
DERELICT,-2.0
DERELICTION,-2.0
DEROGATORY,-2.0
DESTABILIZATION,-2.0
DESTABILIZE,-2.0
DESTABILIZED,-2.0
DESTABILIZING,-2.0
DESTROY,-2.0
DESTROYED,-2.0
DESTROYING,-2.0
DESTROYS,-2.0
DESTRUCTION,-2.0
DESTRUCTIVE,-2.0
DETAIN,-2.0
DETAINED,-2.0
DETENTION,-2.0
DETENTIONS,-2.0
DETER,-2.0
DETERIORATE,-2.0
DETERIORATED,-2.0
DETERIORATES,-2.0
DETERIORATING,-2.0
DETERIORATION,-2.0
DETERIORATIONS,-2.0
DETERRED,-2.0
DETERRENCE,-2.0
DETERRENCES,-2.0
DETERRENT,-2.0
DETERRENTS,-2.0
DETERRING,-2.0
DETERS,-2.0
DETRACT,-2.0
DETRACTED,-2.0
DETRACTING,-2.0
DETRIMENT,-2.0
DETRIMENTAL,-2.0
DETRIMENTALLY,-2.0
DETRIMENTS,-2.0
DEVALUE,-2.0
DEVALUED,-2.0
DEVALUES,-2.0
DEVALUING,-2.0
DEVASTATE,-2.0
DEVASTATED,-2.0
DEVASTATING,-2.0
DEVASTATION,-2.0
DEVIATE,-2.0
DEVIATED,-2.0
DEVIATES,-2.0
DEVIATING,-2.0
DEVIATION,-2.0
DEVIATIONS,-2.0
DEVOLVE,-2.0
DEVOLVED,-2.0
DEVOLVES,-2.0
DEVOLVING,-2.0
DIFFICULT,-2.0
DIFFICULTIES,-2.0
DIFFICULTLY,-2.0
DIFFICULTY,-2.0
DIMINISH,-2.0
DIMINISHED,-2.0
DIMINISHES,-2.0
DIMINISHING,-2.0
DIMINUTION,-2.0
DISADVANTAGE,-2.0
DISADVANTAGED,-2.0
DISADVANTAGEOUS,-2.0
DISADVANTAGES,-2.0
DISAFFILIATION,-2.0
DISAGREE,-2.0
DISAGREEABLE,-2.0
DISAGREED,-2.0
DISAGREEING,-2.0
DISAGREEMENT,-2.0
DISAGREEMENTS,-2.0
DISAGREES,-2.0
DISALLOW,-2.0
DISALLOWANCE,-2.0
DISALLOWANCES,-2.0
DISALLOWED,-2.0
DISALLOWING,-2.0
DISALLOWS,-2.0
DISAPPEAR,-2.0
DISAPPEARANCE,-2.0
DISAPPEARANCES,-2.0
DISAPPEARED,-2.0
DISAPPEARING,-2.0
DISAPPEARS,-2.0
DISAPPOINT,-2.0
DISAPPOINTED,-2.0
DISAPPOINTING,-2.0
DISAPPOINTINGLY,-2.0
DISAPPOINTMENT,-2.0
DISAPPOINTMENTS,-2.0
DISAPPOINTS,-2.0
DISAPPROVAL,-2.0
DISAPPROVALS,-2.0
DISAPPROVE,-2.0
DISAPPROVED,-2.0
DISAPPROVES,-2.0
DISAPPROVING,-2.0
DISASSOCIATES,-2.0
DISASSOCIATING,-2.0
DISASSOCIATION,-2.0
DISASSOCIATIONS,-2.0
DISASTER,-2.0
DISASTERS,-2.0
DISASTROUS,-2.0
DISASTROUSLY,-2.0
DISAVOW,-2.0
DISAVOWAL,-2.0
DISAVOWED,-2.0
DISAVOWING,-2.0
DISAVOWS,-2.0
DISCIPLINARY,-2.0
DISCLAIM,-2.0
DISCLAIMED,-2.0
DISCLAIMER,-2.0
DISCLAIMERS,-2.0
DISCLAIMING,-2.0
DISCLAIMS,-2.0
DISCLOSE,-2.0
DISCLOSED,-2.0
DISCLOSES,-2.0
DISCLOSING,-2.0
DISCONTINUANCE,-2.0
DISCONTINUANCES,-2.0
DISCONTINUATION,-2.0
DISCONTINUATIONS,-2.0
DISCONTINUE,-2.0
DISCONTINUED,-2.0
DISCONTINUES,-2.0
DISCONTINUING,-2.0
DISCOURAGE,-2.0
DISCOURAGED,-2.0
DISCOURAGES,-2.0
DISCOURAGING,-2.0
DISCREDIT,-2.0
DISCREDITED,-2.0
DISCREDITING,-2.0
DISCREDITS,-2.0
DISCREPANCIES,-2.0
DISCREPANCY,-2.0
DISFAVOR,-2.0
DISFAVORED,-2.0
DISFAVORING,-2.0
DISFAVORS,-2.0
DISGORGE,-2.0
DISGORGED,-2.0
DISGORGEMENT,-2.0
DISGORGEMENTS,-2.0
DISGORGES,-2.0
DISGORGING,-2.0
DISGRACE,-2.0
DISGRACEFUL,-2.0
DISGRACEFULLY,-2.0
DISHONEST,-2.0
DISHONESTLY,-2.0
DISHONESTY,-2.0
DISHONOR,-2.0
DISHONORABLE,-2.0
DISHONORABLY,-2.0
DISHONORED,-2.0
DISHONORING,-2.0
DISHONORS,-2.0
DISINCENTIVES,-2.0
DISINTERESTED,-2.0
DISINTERESTEDLY,-2.0
DISINTERESTEDNESS,-2.0
DISLOYAL,-2.0
DISLOYALLY,-2.0
DISLOYALTY,-2.0
DISMAL,-2.0
DISMALLY,-2.0
DISMISS,-2.0
DISMISSAL,-2.0
DISMISSALS,-2.0
DISMISSED,-2.0
DISMISSES,-2.0
DISMISSING,-2.0
DISORDERLY,-2.0
DISPARAGE,-2.0
DISPARAGED,-2.0
DISPARAGEMENT,-2.0
